tempo,erro
367860, -0.0116332
367870, -0.0112346
367880, -0.0108373
367890, -0.0111615
367900, -0.0115261
367910, -0.0112576
367920, -0.011233
367930, -0.0115253
367940, -0.0119988
367950, -0.0116665
367960, -0.0109147
367970, -0.0101665
367980, -0.00889556
367990, -0.00809492
368000, -0.00775144
368010, -0.00779964
368020, -0.00690781
368030, -0.0066888
368040, -0.00629883
368050, -0.00652487
368060, -0.00637282
368070, -0.0066475
368080, -0.00650804
368090, -0.00639643
368100, -0.00637692
368110, -0.00649971
368120, -0.00657131
368130, -0.00651861
368140, -0.00753745
368150, -0.00827645
368160, -0.00985701
368170, -0.00987651
368180, -0.00896727
368190, -0.00717698
368200, -0.00619831
368210, -0.0068091
368220, -0.00770046
368230, -0.00909765
368240, -0.00925291
368250, -0.00910139
368260, -0.00913218
368270, -0.00926355
368280, -0.00913563
368290, -0.00908264
368300, -0.0092309
368310, -0.00927567
368320, -0.00934597
368330, -0.0103011
368340, -0.0106409
368350, -0.00915919
368360, -0.00921058
368370, -0.00959689
368380, -0.0105286
368390, -0.00801054
368400, -0.0072527
368410, -0.00686494
368420, -0.00647681
368430, -0.00681772
368440, -0.00863132
368450, -0.00822646
368460, -0.00674368
368470, -0.00615243
368480, -0.00643842
368490, -0.00818924
368500, -0.00962647
368510, -0.00972804
368520, -0.00860268
368530, -0.00831232
368540, -0.00743129
368550, -0.00633875
368560, -0.00630231
368570, -0.00664507
368580, -0.00742792
368590, -0.00767397
368600, -0.0084434
368610, -0.00976567
368620, -0.0103142
368630, -0.00801067
368640, -0.00636125
368650, -0.00700785
368660, -0.00764075
368670, -0.00780142
368680, -0.00763475
368690, -0.00681771
368700, -0.00620434
368710, -0.00605307
368720, -0.00670149
368730, -0.00712432
368740, -0.00817783
368750, -0.00866512
368760, -0.0102003
368770, -0.00824853
368780, -0.00706031
368790, -0.00681938
368800, -0.00645366
368810, -0.00674253
368820, -0.00691407
368830, -0.00709778
368840, -0.007542
368850, -0.00872163
368860, -0.0102994
368870, -0.010924
368880, -0.00980749
368890, -0.00877297
368900, -0.00839007
368910, -0.00787691
368920, -0.0082539
368930, -0.00889876
368940, -0.0107595
368950, -0.00921077
368960, -0.00748893
368970, -0.00677394
368980, -0.00660758
368990, -0.00692818
369000, -0.00679923
369010, -0.00679179
369020, -0.0073792
369030, -0.00977579
369040, -0.00837269
369050, -0.00674545
369060, -0.00799354
369070, -0.011371
369080, -0.00837875
369090, -0.00767212
369100, -0.00973023
369110, -0.0106526
369120, -0.00846522
369130, -0.00733114
369140, -0.00761412
369150, -0.00861586
369160, -0.0119301
369170, -0.00971438
369180, -0.00881377
369190, -0.0082667
369200, -0.00844544
369210, -0.00862727
369220, -0.00902302
369230, -0.00952659
369240, -0.0106078
369250, -0.0127238
369260, -0.0104708
369270, -0.00883554
369280, -0.00809753
369290, -0.0079251
369300, -0.00848808
369310, -0.00966496
369320, -0.0105077
369330, -0.00757158
369340, -0.00877553
369350, -0.00926953
369360, -0.00709166
369370, -0.00937923
369380, -0.0091158
369390, -0.00715998
369400, -0.00900699
369410, -0.00953197
369420, -0.0068793
369430, -0.00644576
369440, -0.00694584
369450, -0.00895018
369460, -0.00887495
369470, -0.00736708
369480, -0.00800569
369490, -0.0099536
369500, -0.00928262
369510, -0.00798316
369520, -0.00727649
369530, -0.00708234
369540, -0.00703815
369550, -0.00923955
369560, -0.0114377
369570, -0.0104009
369580, -0.00945465
369590, -0.00934814
369600, -0.00853865
369610, -0.00869634
369620, -0.00850123
369630, -0.00910315
369640, -0.010291
369650, -0.0128028
369660, -0.0105238
369670, -0.00893512
369680, -0.00983643
369690, -0.0115422
369700, -0.00893358
369710, -0.00880499
369720, -0.00948757
369730, -0.0106487
369740, -0.0116251
369750, -0.0139912
369760, -0.0109731
369770, -0.0104113
369780, -0.00948988
369790, -0.0108375
369800, -0.0140366
369810, -0.0121384
369820, -0.009972
369830, -0.0100741
369840, -0.0105406
369850, -0.0124534
369860, -0.0119019
369870, -0.0102139
369880, -0.0101273
369890, -0.00982794
369900, -0.0115706
369910, -0.0140293
369920, -0.0107035
369930, -0.0107618
369940, -0.0118385
369950, -0.0139094
369960, -0.0140869
369970, -0.0136982
369980, -0.0132926
369990, -0.0133252
370000, -0.0134288
370010, -0.0129526
370020, -0.012867
370030, -0.0145684
370040, -0.0139462
370050, -0.012201
370060, -0.0111066
370070, -0.0110642
370080, -0.0111962
370090, -0.0124153
370100, -0.0156219
370110, -0.0131562
370120, -0.0121486
370130, -0.0109448
370140, -0.0111119
370150, -0.012299
370160, -0.0129711
370170, -0.0130927
370180, -0.0134175
370190, -0.0157458
370200, -0.0162986
370210, -0.0152962
370220, -0.0141682
370230, -0.0126916
370240, -0.0116373
370250, -0.0108769
370260, -0.0107998
370270, -0.010896
370280, -0.0114288
370290, -0.0125449
370300, -0.0135475
370310, -0.0145217
370320, -0.0126216
370330, -0.0109195
370340, -0.00994129
370350, -0.0109045
370360, -0.0123647
370370, -0.0150588
370380, -0.0133467
370390, -0.0116179
370400, -0.0111922
370410, -0.0111386
370420, -0.0128413
370430, -0.0144392
370440, -0.0124547
370450, -0.0113332
370460, -0.0111952
370470, -0.0127074
370480, -0.0154459
370490, -0.0141428
370500, -0.0121238
370510, -0.0114842
370520, -0.01453
370530, -0.0126542
370540, -0.0114135
370550, -0.0137528
370560, -0.0143683
370570, -0.0123215
370580, -0.0124777
370590, -0.0145274
370600, -0.015926
370610, -0.013573
370620, -0.0133851
370630, -0.0128606
370640, -0.013667
370650, -0.0139568
370660, -0.0143518
370670, -0.01183
370680, -0.0105634
370690, -0.012354
370700, -0.0121715
370710, -0.0103801
370720, -0.0124462
370730, -0.0133031
370740, -0.0112447
370750, -0.0108574
370760, -0.0106606
370770, -0.0117144
370780, -0.0135488
370790, -0.0137617
370800, -0.0116222
370810, -0.0112141
370820, -0.0125452
370830, -0.0155631
370840, -0.0131835
370850, -0.0115519
370860, -0.010453
370870, -0.0110411
370880, -0.0121475
370890, -0.0145306
370900, -0.0142647
370910, -0.0122126
370920, -0.0116385
370930, -0.011853
370940, -0.0118389
370950, -0.0114487
370960, -0.0106333
370970, -0.0108789
370980, -0.0113423
370990, -0.0125909
371000, -0.0131756
371010, -0.0136128
371020, -0.0122048
371030, -0.0112844
371040, -0.00985681
371050, -0.00951438
371060, -0.00967877
371070, -0.0101261
371080, -0.0114569
371090, -0.014014
371100, -0.0128805
371110, -0.0107035
371120, -0.00985664
371130, -0.00883311
371140, -0.00829094
371150, -0.00881638
371160, -0.0116637
371170, -0.0104005
371180, -0.00910142
371190, -0.00867858
371200, -0.00867285
371210, -0.00807697
371220, -0.00796096
371230, -0.00789841
371240, -0.00794478
371250, -0.0076697
371260, -0.0081026
371270, -0.00794292
371280, -0.00858494
371290, -0.00936192
371300, -0.0112197
371310, -0.00893575
371320, -0.00769441
371330, -0.00786053
371340, -0.00857082
371350, -0.00899989
371360, -0.00964493
371370, -0.0103498
371380, -0.0113459
371390, -0.0111186
371400, -0.00904044
371410, -0.0076044
371420, -0.00658096
371430, -0.00844257
371440, -0.0093782
371450, -0.0072271
371460, -0.00810073
371470, -0.00968467
371480, -0.00776417
371490, -0.00676662
371500, -0.00685518
371510, -0.00818797
371520, -0.00992327
371530, -0.00990979
371540, -0.00907036
371550, -0.00826359
371560, -0.00747125
371570, -0.00706725
371580, -0.00664846
371590, -0.00668368
371600, -0.0069749
371610, -0.00756175
371620, -0.00699937
371630, -0.00754478
371640, -0.00814344
371650, -0.00752273
371660, -0.00719708
371670, -0.00747542
371680, -0.00773042
371690, -0.00747611
371700, -0.00752434
371710, -0.00761235
371720, -0.00822585
371730, -0.00920671
371740, -0.00932748
371750, -0.00829722
371760, -0.00614048
371770, -0.00470769
371780, -0.00370052
371790, -0.00255499
371800, -0.00289738
371810, -0.00278613
371820, -0.00454529
371830, -0.00573127
371840, -0.00720274
371850, -0.00536673
371860, -0.00425729
371870, -0.00354093
371880, -0.00330909
371890, -0.00297378
371900, -0.00277265
371910, -0.00383957
371920, -0.00478967
371930, -0.00616627
371940, -0.00339961
371950, -0.00298663
371960, -0.00432556
371970, -0.00605196
371980, -0.00538402
371990, -0.00395433
372000, -0.0029029
372010, -0.00348125
372020, -0.0066031
372030, -0.00396161
372040, -0.00266396
372050, -0.00286893
372060, -0.00463466
372070, -0.00579607
372080, -0.00369105
372090, -0.00244798
372100, -0.00155001
372110, -0.00148266
372120, -0.00138167
372130, -0.00147182
372140, -0.00148451
372150, -0.00242303
372160, -0.00304544
372170, -0.00528197
372180, -0.00564934
372190, -0.00389228
372200, -0.00245988
372210, -0.0021168
372220, -0.00126999
372230, -0.00165745
372240, -0.00362942
372250, -0.00420803
372260, -0.00180917
372270, -1.37746e-05
372280, -0.000488895
372290, -0.0016972
372300, -0.00279472
372310, -0.0003602
372320, 0.000439201
372330, -0.000451428
372340, -0.000329556
372350, -0.000494715
372360, 0.000394662
372370, 0.000345449
372380, 0.000267982
372390, 0.000138849
372400, -0.000171352
372410, -0.000553677
372420, -0.00144043
372430, -0.00223694
372440, -0.00392801
372450, -0.00438572
372460, -0.00230714
372470, -0.000762548
372480, -0.00118959
372490, -0.00285427
372500, -0.0031554
372510, -5.10605e-05
372520, 0.000844413
372530, 0.000931256
372540, 0.00072668
372550, 0.000643179
372560, 0.000343192
372570, 0.00089824
372580, 0.000817525
372590, 0.000626861
372600, 0.000376532
372610, 0.000292088
372620, -0.000598746
372630, -0.00281906
372640, 0.000713174
372650, -0.00161368
372660, -0.000930687
372670, 0.00117757
372680, -0.00179443
372690, 5.03236e-05
372700, 0.000706966
372710, -1.14881e-05
372720, -0.001864
372730, -0.00155117
372740, 0.00122002
372750, 0.000547638
372760, -0.00291548
372770, 0.000237997
372780, 0.000912304
372790, -0.000992367
372800, -0.000632926
372810, 0.000688788
372820, -0.00317655
372830, 0.000474146
372840, 5.44721e-05
372850, -0.00211132
372860, -0.00380045
372870, -0.00217727
372880, -0.000735086
372890, 0.000418571
372900, -0.00015196
372910, -7.03235e-05
372920, 0.00011792
372930, -0.000710857
372940, -0.000914031
372950, -0.00157089
372960, -0.00405131
372970, -0.00303098
372980, -0.00268777
372990, -0.00291991
373000, -0.00321668
373010, -0.00382771
373020, -0.00334252
373030, -0.00355433
373040, -0.00244404
373050, -0.00209921
373060, -0.00216308
373070, -0.00216214
373080, -0.00211873
373090, -0.00254691
373100, -0.00219669
373110, -0.00179446
373120, -0.0020977
373130, -0.0030292
373140, -0.00434552
373150, -0.00551477
373160, -0.00425542
373170, -0.0030192
373180, -0.00308592
373190, -0.00427421
373200, -0.00522512
373210, -0.0052024
373220, -0.0045854
373230, -0.00430546
373240, -0.00446426
373250, -0.00466157
373260, -0.00448301
373270, -0.00455632
373280, -0.00428732
373290, -0.00462746
373300, -0.00545863
373310, -0.00585544
373320, -0.00481277
373330, -0.00475225
373340, -0.00508201
373350, -0.00527196
373360, -0.00482566
373370, -0.00491985
373380, -0.00555676
373390, -0.00568524
373400, -0.00517369
373410, -0.00455538
373420, -0.00470634
373430, -0.00601416
373440, -0.00585619
373450, -0.00407075
373460, -0.00238749
373470, -0.00259623
373480, -0.00307767
373490, -0.00570611
373500, -0.00650252
373510, -0.00485523
373520, -0.00389512
373530, -0.00343874
373540, -0.00295693
373550, -0.00275537
373560, -0.00283308
373570, -0.00231934
373580, -0.00252543
373590, -0.00250759
373600, -0.00339975
373610, -0.00569052
373620, -0.00389252
373630, -0.00337449
373640, -0.00312593
373650, -0.00311306
373660, -0.00265509
373670, -0.00276861
373680, -0.00285398
373690, -0.00274927
373700, -0.00342842
373710, -0.00486542
373720, -0.00561783
373730, -0.00756456
373740, -0.00740944
373750, -0.00616125
373760, -0.00477698
373770, -0.00452189
373780, -0.00435568
373790, -0.00474848
373800, -0.00554199
373810, -0.00588242
373820, -0.00686396
373830, -0.00717579
373840, -0.00648004
373850, -0.00672508
373860, -0.00573209
373870, -0.00544504
373880, -0.00555101
373890, -0.00558673
373900, -0.00514
373910, -0.00503157
373920, -0.00459403
373930, -0.00418451
373940, -0.00387692
373950, -0.00388817
373960, -0.00490879
373970, -0.00620522
373980, -0.00836279
373990, -0.00651909
374000, -0.00610724
374010, -0.00558207
374020, -0.00517283
374030, -0.00482573
374040, -0.00532607
374050, -0.00538196
374060, -0.00501812
374070, -0.00657274
374080, -0.00759197
374090, -0.00756206
374100, -0.00654145
374110, -0.00555317
374120, -0.0045981
374130, -0.00489954
374140, -0.00480812
374150, -0.00479058
374160, -0.00428812
374170, -0.00429617
374180, -0.00629313
374190, -0.00895727
374200, -0.00668753
374210, -0.00550042
374220, -0.00526802
374230, -0.00511002
374240, -0.00560014
374250, -0.00665668
374260, -0.00750487
374270, -0.00917076
374280, -0.00764878
374290, -0.00726975
374300, -0.00579509
374310, -0.00527655
374320, -0.00692533
374330, -0.0098479
374340, -0.00810985
374350, -0.0073578
374360, -0.00676817
374370, -0.00629733
374380, -0.00580908
374390, -0.00563538
374400, -0.00620735
374410, -0.00787659
374420, -0.00743434
374430, -0.00432427
374440, -0.00471267
374450, -0.00672216
374460, -0.00735561
374470, -0.0042767
374480, -0.0037817
374490, -0.00620389
374500, -0.00504361
374510, -0.00281204
374520, -0.00626732
374530, -0.001985
374540, -0.00295054
374550, -0.00256179
374560, -0.000941446
374570, -0.00487722
374580, -0.000877957
374590, -0.000934398
374600, -0.00312033
374610, -0.00449627
374620, -0.00209668
374630, -0.0016917
374640, -0.00383851
374650, -0.00557344
374660, -0.00230977
374670, -0.00145261
374680, -0.00137226
374690, -0.000902126
374700, -0.00107989
374710, -0.000593803
374720, -0.000890771
374730, -0.00107256
374740, -0.00218562
374750, -0.00218915
374760, -0.00259567
374770, -0.00202154
374780, -0.00307037
374790, -0.00229883
374800, -0.00066483
374810, 0.00014055
374820, 0.000272666
374830, 0.00073977
374840, 0.000699656
374850, 0.000600427
374860, 0.000966496
374870, 0.000890701
374880, 0.00117663
374890, 0.00133425
374900, 0.00136162
374910, 0.00151513
374920, 0.00122943
374930, 0.000231269
374940, -0.00125826
374950, -0.00200233
374960, -0.000993172
374970, 0.000620688
374980, 0.00159651
374990, 0.00223953
375000, 0.00220984
375010, 0.00240114
375020, 0.00108364
375030, -0.000504423
375040, -0.000131809
375050, 0.00171888
375060, 0.00317489
375070, 0.00307107
375080, 0.00173047
375090, -5.23177e-05
375100, 0.000119059
375110, 0.000881242
375120, 0.00146162
375130, 0.00259829
375140, 0.00331828
375150, 0.00377182
375160, 0.00424473
375170, 0.00387853
375180, 0.00320251
375190, 0.00214839
375200, 0.00228973
375210, 0.00155723
375220, 0.00090812
375230, 0.00072592
375240, 0.00290913
375250, 0.00463399
375260, 0.00426781
375270, 0.00351313
375280, 0.00195047
375290, 0.00104422
375300, 0.00267256
375310, 0.00351474
375320, 0.00467418
375330, 0.00398611
375340, 0.00211216
375350, -0.000154436
375360, 0.00238066
375370, 0.00457593
375380, 0.00332718
375390, 0.000482422
375400, -0.000272512
375410, 0.00119289
375420, 0.00263582
375430, 0.00391432
375440, 0.00406287
375450, 0.00397244
375460, 0.00305268
375470, 0.000893129
375480, -0.000495314
375490, -0.00039941
375500, 0.00156504
375510, 0.00246719
375520, 0.00246712
375530, 0.00326338
375540, 0.00291305
375550, 0.00256128
375560, 0.000749319
375570, 0.000604581
375580, 0.00270454
375590, 0.00232177
375600, -0.000965626
375610, 0.000946813
375620, 0.00244379
375630, 0.00239713
375640, 0.000461854
375650, -0.00154251
375660, 0.00171869
375670, 0.00146465
375680, -0.000941082
375690, -0.00156348
375700, 0.000369965
375710, 0.000448445
375720, -0.000735834
375730, -0.00084126
375740, -0.0019689
375750, -0.00188788
375760, -0.00161199
375770, -0.00131685
375780, -8.85798e-05
375790, 0.000773078
375800, 0.00156536
375810, 0.00105214
375820, 0.000598159
375830, 0.000219914
375840, 0.000695999
375850, 0.000552002
375860, -0.000650438
375870, -0.00138762
375880, 0.000590141
375890, 0.00123236
375900, 0.00191917
375910, 0.00279945
375920, 0.00328585
375930, 0.00301634
375940, 0.00293327
375950, 0.00287906
375960, 0.00262856
375970, 0.00224518
375980, 0.00182388
375990, 0.00235344
376000, 0.00219057
376010, 0.00210344
376020, 0.00236879
376030, 0.00271189
376040, 0.00226366
376050, 0.00211446
376060, 0.00239163
376070, 0.0035235
376080, 0.00297536
376090, 0.00228111
376100, 0.000590342
376110, 0.000528589
376120, 0.00198466
376130, 0.00304313
376140, 0.00368995
376150, 0.00332167
376160, 0.00163639
376170, 0.00010453
376180, 0.000797684
376190, 0.00201875
376200, 0.00311559
376210, 0.00304861
376220, 0.00376684
376230, 0.00281563
376240, 0.00238408
376250, 0.00152311
376260, 0.000203505
376270, -0.000374706
376280, -0.000210515
376290, -0.000900008
376300, -0.000461542
376310, 0.00102246
376320, 0.0011126
